Género;¿Te identificás como LGBT+ (lesbiana, gay, bisexual, transexual, otra minoría sexual)?;Rango Edad;Discapacidad;Máximo nivel de formación;Carrera;¿En qué tipo de universidad estudiaste tu carrera de grado?;País;Provincia donde trabajas;Trabajo;Rubro de la empresa;Cantidad de Empleados;Origen del capital;¿Cuántas personas integran el área de RRHH?;¿En qué puesto trabajás?;Tipo de contratación;¿Cuál es tu función principal en RRHH?;¿Cuántas personas tenés a cargo? (poné 0 si no tenés gente a cargo?;¿Hace cuántos años trabajas en la empresa donde estás? (0 para menos de un año);¿Cuántos años de experiencia tenés en RRHH?;¿Cuál es tu remuneración BRUTA MENSUAL en tu moneda local? (antes de impuestos y deducciones);¿Qué beneficios tenés?;¿Recibís bonos?;¿Tuviste ajustes por inflación en 2020?;¿Cuál fue el porcentaje de aumento acumulado que tuviste en 2020?;Mes del último ajuste;¿Trabajás en proyectos independientes además de tu empleo?;¿Qué sistema de gestión de RRHH usan en tu empresa?;¿Cómo se llama el área en tu empresa?;¿Se podía tomar mate en las oficinas de tu empresa? (antes del COVID-19);¿Te exigieron saber un idioma extranjero (inglés, portugués, etc.) para entrar a trabajar en tu empresa?;¿Qué porcentaje del tiempo usas el idioma extranjero en tu puesto actual?;¿Cuántos contactos tenés en LinkedIn? (poné 0 si no tenés cuenta de LinkedIn);¿Qué tan satisfecho estás con tu empresa?;¿Estás buscando trabajo?;¿Qué beneficios te gustaría tener?;Definí a RRHH con una sola palabra;¿Cuál es la pregunta más bizarra que te han hecho/has hecho en una entrevista?;¿Estás trabajando desde tu casa?;¿Qué elementos te proveyó la empresa para que puedas trabajar desde tu casa?;¿Cómo valorarías la gestión de tu empresa en este nuevo contexto?;¿Cómo estás registrado/a fiscalmente?;¿Hace cuántos años trabajás como freelance?;¿Dónde trabajás habitualmente? (sin considerar la coyuntura por COVID-19);¿Exportás tus servicios?;Si exportás servicios, ¿a través de qué medios de pago recibís los pagos del exterior?;¿Aceptás pagos en cuotas?;¿Trabajás con otros freelancers de tu mismo rubro?;¿Tu servicio principal está relacionado con búsqueda y selección?;¿Te dedicás principalmente a realizar búsquedas de IT/Tecnología?;¿Trabajás a riesgo?;¿Cuál es el coeficiente que cobrás por tus servicios?;El coeficiente lo calculás sobre:;¿Ofrecés garantía?;¿Cuál es el servicio principal que brindas? (si brindás más de un servicio, elegí el que más ingresos genere);¿Cuál es el valor hora promedio que ofrecés? (moneda local)
Femenino;No;Entre 31 y 35;No tengo ninguna discapacidad;Universitario completo;Psicología;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Servicios públicos (agua;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Masculino;No;Entre 31 y 35;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Otros;Entre 101 y 250;Nacional;15;Jefe;Full time;Generalista;3;13;8;185000;Horarios flexibles, Licencias extendidas, Reintegros en capacitación, Comedor / Almuerzos, Charter / Servicio de transporte;Un sueldo;1 solo;10;Octubre;Si, en emprendimiento no relacionado con RRHH;PRESEA - Neuralsoft;Recursos Humanos y Relaciones laborales;Si, está permitido;No;20%;1672;4;No,  pero escucho ofertas;Prepaga, homeoffice (con insumos informáticos por cuenta de la empresa), almuerzo, jornadas flex;Progreso;;Si;Un adicional de $ 2000;3;;;;;;;;;;;;;;;
Masculino;No;Entre 31 y 35;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Buenos Aires;Relación de Dependencia;Medios de comunicación;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Femenino;No;Entre 26 y 30;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Tecnologías de Información, Sistemas, y afines;Entre 51 y 100;Nacional;3;Analista;Full time;Generalista;0;2;5;64000;Medicina prepaga / Plan de salud, Licencias extendidas, Gimnasio, Frutas y snacks, Reintegros en capacitación, Idiomas, Home office;No recibo bono;2 ajustes;20;Agosto;No;HC Work;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Femenino;No;Entre 31 y 35;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Buenos Aires;Relación de Dependencia;Servicios de salud;Entre 251 y 500;Nacional;9;Analista;Full time;Generalista;0;5;5;56000;Medicina prepaga / Plan de salud, Gimnasio, Frutas y snacks, Comedor / Almuerzos;No recibo bono;2 ajustes;23;Julio;No;Orange HRM;Capital Humano;Si, está permitido;No;;500;2;Sí, activamente;Internet pago;Compromiso;;Voy rotando entre la oficina y el trabajo;Computadora / Laptop, Silla ergonómica;3;;;;;;;;;;;;;;;
Femenino;No;Entre 26 y 30;No tengo ninguna discapacidad;Universitario completo;Abogacía;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Servicios de salud;Entre 251 y 500;Nacional;9;Analista;Full time;Compensaciones y beneficios;0;3;3;51500;Medicina prepaga / Plan de salud, Horarios flexibles, Gimnasio, Comedor / Almuerzos;No recibo bono;3 o más ajustes;28;Mayo;No;Orange HM ;Capital Humano;Si, está permitido;No;0%;0;3;No,  pero escucho ofertas;Home Office;;;Voy rotando entre la oficina y el trabajo;No me enviaron ni reintegraron nada;3;;;;;;;;;;;;;;;
Femenino;No;Entre 31 y 35;No tengo ninguna discapacidad;Maestría en curso;Abogacía;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Tecnologías de Información, Sistemas, y afines;Entre 2.501 y 5.000;Multinacional;50;Analista;Full time;Legal;0;10;8;76000;Medicina prepaga / Plan de salud, Tarjeta de descuento, Horarios flexibles;Dos sueldos;No tuve ajustes;0;;No;SAP / SuccessFactors;Recursos Humanos;Si, está permitido;No;10%;500;1;Sí, activamente;Homeoffice, gimnasio, obra social, bonos, almuerzo ;Gestión ;¿Le harías caso al jefe o al gerente? ;Si;Computadora / Laptop;1;;;;;;;;;;;;;;;
Masculino;No;Entre 26 y 30;No tengo ninguna discapacidad;Universitario completo;Economía;Universidad Pública;Uruguay;;Relación de Dependencia;Servicios de consultoría;Hasta 51;Nacional;20;Jefe;Full time;Payroll / Liquidación de sueldos;4;2;8;86000;Vacaciones extendidas, Licencias extendidas, Gimnasio, Posgrados, Idiomas, Home office;No recibo bono;2 ajustes;18;Julio;Si, en emprendimiento no relacionado con RRHH;SIR;;Si, está permitido;Si;10%;266;5;No,  pero escucho ofertas;;;;Si;Computadora / Laptop;4;;;;;;;;;;;;;;;
Femenino;No;Hasta 25;No tengo ninguna discapacidad;Universitario en curso;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Educación;Entre 1.001 y 2.500;Nacional;12;Analista;Full time;Reclutamiento y selección;0;3;3;62.000;Frutas y snacks;No recibo bono;1 solo;5;Marzo;No;Enlatado propio;Recursos Humanos;Si, está permitido;No;;400;4;No,  pero escucho ofertas;Viernes Flex, Home Office, Día de mi cumpleaños libre;Facilitadores ;Si podía tomarse horas del trabajo para ir a ver a sus gatos a la casa, los tenía como hijos.;;;;;;;;;;;;;;;;;;
Femenino;No;Entre 41 y 45;No tengo ninguna discapacidad;Universitario completo;Administración de Empresas;Universidad Pública;Argentina;Formosa;Relación de Dependencia;Servicios públicos (agua;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Femenino;No;Entre 46 y 50;No tengo ninguna discapacidad;Maestría abandonada;Contador Público;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Otros;Entre 101 y 250;Nacional;2;Gerente;Full time;Generalista;8;25;10;148000;Gimnasio, Préstamos;Dos sueldos;No tuve ajustes;10;Marzo;Si, en proyectos ad honorem;Terciarizado con Arizmedi;Recursos Humanos;Si, está permitido;No;0%;250;4;No,  pero escucho ofertas;Home office;Confianza;no recuerdo;Voy rotando entre la oficina y el trabajo;No me enviaron ni reintegraron nada;3;;;;;;;;;;;;;;;
Masculino;No;Entre 51 y 55 años;No tengo ninguna discapacidad;Universitario abandonado;Licenciatura en Sistemas;Universidad Pública;Argentina;Corrientes;Relación de Dependencia;Función pública;Más de 10.000;Nacional;0;Responsable;Part time;No me desempeño en el área de RRHH. Trabajo en el área de Sistemas.;0;20;0;54000;No tengo beneficios adicionales;No recibo bono;3 o más ajustes;20;Octubre;Si, en emprendimiento relacionado con RRHH;No tenemos sistema de gestión;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Femenino;No;Entre 41 y 45;No tengo ninguna discapacidad;Maestría completa;Administración de Empresas;Universidad Privada;Argentina;San Juan;Relación de Dependencia;Comercio;Entre 101 y 250;Multinacional;2;Jefe;Full time;Generalista;1;4;15;61.697;Medicina prepaga / Plan de salud, Tarjeta de descuento;Menos de un sueldo;No tuve ajustes;5;Marzo;No;Enlatado propio;Recursos Humanos;Si, está permitido;No;;62;3;Sí, activamente;Horario flexible;Operativa;;Si;No me enviaron ni reintegraron nada;3;;;;;;;;;;;;;;;
Femenino;No;Entre 26 y 30;No tengo ninguna discapacidad;Universitario en curso;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Corrientes;Relación de Dependencia;Comercio;Entre 101 y 250;Nacional;1;Responsable;Full time;Reclutamiento y selección;0;2;2;40000;Medicina prepaga / Plan de salud;No recibo bono;No tuve ajustes;20;Junio;No;No tenemos sistema de gestión;Capital Humano;Si, está permitido;No;10%;50;3;No,  pero escucho ofertas;Tener una parte del sueldo variable ;Necesario;Pedirme un préstamo a 1 semana de estar en la empresa ;No;No estoy trabajando en home office;3;;;;;;;;;;;;;;;
Femenino;No;Entre 26 y 30;No tengo ninguna discapacidad;Maestría completa;Administración de Empresas;Universidad Privada;Argentina;Corrientes;Relación de Dependencia;Servicios de consultoría;Hasta 51;Nacional;2;Analista;Part time;Diseño organizacional;0;2;2;40000;Horarios flexibles, Home office;No recibo bono;2 ajustes;25;Abril;Si, en proyectos ad honorem;Asana;Capital Humano;Si, está permitido;No;30%;350;4;No,  pero escucho ofertas;Internet pago y bonos o comisiones ;Cambio;No tengo ;Si;No me enviaron ni reintegraron nada;4;;;;;;;;;;;;;;;
Femenino;No;Entre 36 y 40;No tengo ninguna discapacidad;Maestría en curso;Contador Público;Universidad Privada;Argentina;San Juan;Relación de Dependencia;Comercio;Entre 251 y 500;Nacional;2;Responsable;Full time;Administración de personal;1;13;2;85000;Medicina prepaga / Plan de salud;No recibo bono;No tuve ajustes;0;;No;No tenemos sistema de gestión;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Femenino;No;Entre 31 y 35;No tengo ninguna discapacidad;Universitario completo;Comunicación;Universidad Privada;Argentina;Santa Fe;Freelance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Monotributista;6;Casa;Si;Payoneer;No;Si;Si;Si;Si;1;Remuneración mensual del ingresante;No ofrezco garantía;;
Femenino;No;Entre 36 y 40;No tengo ninguna discapacidad;Universitario completo;Psicología;Universidad Pública;Argentina;Córdoba;Relación de Dependencia;Otros;Entre 101 y 250;Nacional;6;Responsable;Full time;Comunicación interna;1;4;7;40000;Horarios flexibles, Abono de celular, Home office;No recibo bono;No tuve ajustes;0;;Si, en emprendimiento no relacionado con RRHH;No tenemos sistema de gestión;Recursos Humanos;Si, está permitido;No;;1100;4;Sí, activamente;;;;Si;Computadora / Laptop, Silla ergonómica, Abono de celular;4;;;;;;;;;;;;;;;
Masculino;No;Entre 31 y 35;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Servicios de correos, y de telecomunicaciones;Entre 1.001 y 2.500;Nacional;16;Analista;Full time;Administración de personal;0;0;4;58000;No tengo beneficios adicionales, Medicina prepaga / Plan de salud;No recibo bono;No tuve ajustes;4000;Febrero;Si, en emprendimiento no relacionado con RRHH;Pharao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Masculino;No;Entre 31 y 35;No tengo ninguna discapacidad;Universitario completo;Comunicación Social;Universidad Pública;Chile;;Relación de Dependencia;Tecnologías de Información, Sistemas, y afines;Entre 101 y 250;Nacional;4;Jefe;Full time;Diseño organizacional;0;1;9;2300000;Medicina prepaga / Plan de salud, Horarios flexibles, Frutas y snacks, Idiomas, Home office;No recibo bono;1 solo;8;Septiembre;Si, en proyectos ad honorem;BUK;Capital Humano;Si, está permitido;No;10%;3200;4;No,  pero escucho ofertas;Ticket almuerzo;Experiencia;¿Sabes por qué las pelotas de tenis tienen pelos? (Luego, la utilicé en algunas ocasiones jeje);Si;Computadora / Laptop, Silla ergonómica;5;;;;;;;;;;;;;;;
Femenino;No;Entre 36 y 40;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Freelance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Monotributista;1;Casa;No;no exporta;Si, eventualmente;Si;Si;Si;Si;.3;Remuneración mensual del ingresante;3 meses;;
Femenino;No;Entre 31 y 35;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Santa Fe;Relación de Dependencia;Otros;Entre 251 y 500;Nacional;4;Analista;Full time;Reclutamiento y selección;0;2.5;8;93000;Medicina prepaga / Plan de salud;No recibo bono;1 solo;15;Septiembre;No;No tenemos sistema de gestión;Recursos Humanos;Si, está permitido;No;10%;1879;2;No,  pero escucho ofertas;comedor, flex time/jornada reducida;Dinamismo ;¿-;No;No estoy trabajando en home office;3;;;;;;;;;;;;;;;
Femenino;No;Entre 36 y 40;No tengo ninguna discapacidad;Maestría abandonada;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Construcción;Entre 101 y 250;Nacional;2;Responsable;Full time;Administración de personal;1;2;14;118.000;No tengo beneficios adicionales;No recibo bono;No tuve ajustes;0;Noviembre;No;softland;Recursos Humanos;Si, está permitido;No;0%;600;2;Sí, activamente;home office;Empatia;;Voy rotando entre la oficina y el trabajo;Computadora / Laptop;2;;;;;;;;;;;;;;;
Masculino;Prefiero no responder;Entre 31 y 35;No tengo ninguna discapacidad;Terciario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Santa Fe;Relación de Dependencia;Otros;Entre 251 y 500;Multinacional;3;Analista;Full time;Administración de personal;0;9;12;79000;Medicina prepaga / Plan de salud;No recibo bono;1 solo;12;Mayo;Si, en emprendimiento no relacionado con RRHH;Bejerman;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Femenino;No;Entre 41 y 45;No tengo ninguna discapacidad;Terciario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Buenos Aires;Freelance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Monotributista;1;En empresa ;No;no;No;No;No;;;;;;Diseño organizacional;850
Femenino;No;Entre 31 y 35;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Comercio;Entre 51 y 100;Nacional;1;Responsable;Full time;Generalista;0;2;13;50000;No tengo beneficios adicionales;No recibo bono;No tuve ajustes;0;;Si, en emprendimiento relacionado con RRHH;No tenemos sistema de gestión;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Femenino;No;Entre 31 y 35;No tengo ninguna discapacidad;Maestría completa;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Hotelería, restauración, turismo;Hasta 51;Nacional;1;Responsable;Full time;Generalista;0;2;9;70.000;Comedor / Almuerzos;No recibo bono;No tuve ajustes;0;;No;No tenemos sistema de gestión;Recursos Humanos;Si, está permitido;No;;500;2;Sí, activamente;Medicina prepaga, horarios flexibles, capacitaciones;Fundamental;De qué signo zodiacal soy;Voy rotando entre la oficina y el trabajo;No me enviaron ni reintegraron nada;1;;;;;;;;;;;;;;;
Masculino;No;Entre 31 y 35;No tengo ninguna discapacidad;Universitario en curso;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Buenos Aires;Relación de Dependencia;Terminales automotrices, fábricas autopartistas, y afines;Entre 251 y 500;Multinacional;5;HRBP;Full time;Relaciones laborales;0;9;10;110000;Medicina prepaga / Plan de salud, Horarios flexibles, Abono de celular, Comedor / Almuerzos;Dos sueldos;2 ajustes;14;Julio;No;SAP / SuccessFactors;Recursos Humanos;Si, está permitido;No;0%;200;4;No,  pero escucho ofertas;Charter/transporte;Influyente ;Ningua ;No;No estoy trabajando en home office;4;;;;;;;;;;;;;;;
Femenino;No;Entre 31 y 35;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Terminales automotrices, fábricas autopartistas, y afines;Entre 251 y 500;Nacional;2;Analista;Full time;Administración de personal;0;1;5;55000;No tengo beneficios adicionales;No recibo bono;1 solo;80;Agosto;Si, en proyectos ad honorem;Enlatado propio;Recursos Humanos;Si, está permitido;No;0%;1600;3;No,  pero escucho ofertas;Capacitación- posgrado;Progreso;Me preguntaron que afinidad política tenía, yo no suelo hacer preguntas extrañas (para adjetivar) si la conversación no va por ese camino. No se si me expliqué. Si el relato es bizarro y me interesa pregunto. Pero no lo haría de la nada;No;No estoy trabajando en home office;1;;;;;;;;;;;;;;;
Femenino;No;Entre 36 y 40;No tengo ninguna discapacidad;Universitario en curso;Contador Público;Universidad Privada;Argentina;Catamarca;Relación de Dependencia;Comercio;Entre 101 y 250;Nacional;1;Jefe;Full time;Generalista;0;1;11;75000;Medicina prepaga / Plan de salud, Abono de celular, Abono de internet, Home office, Comedor / Almuerzos;No recibo bono;1 solo;10;Abril;Si, en emprendimiento relacionado con RRHH;No tenemos sistema de gestión;Recursos Humanos;No, está prohibido;No;0%;130;3;Sí, activamente;Poder trabajar para vivir y no vivir para trabajar;Gestion ;;No;Computadora / Laptop, Abono de celular, Abono de internet;1;;;;;;;;;;;;;;;
Masculino;No;Entre 31 y 35;No tengo ninguna discapacidad;Maestría completa;Psicología;Universidad Pública;México;;Relación de Dependencia;Comercio;Más de 10.000;Nacional;500;Analista;Full time;People Analytics;0;10;4;10110;Tarjeta de descuento, Horarios flexibles, Vacaciones extendidas, Préstamos, Idiomas;No recibo bono;1 solo;5;Febrero;No;Enlatado propio;Desarrollo organizacional;Si, está permitido;No;10%;65;2;No,  pero escucho ofertas;Capacitación externa a la empresa pagada en un 100%;Apática;¿Por qué no debería de contratarte?;Voy rotando entre la oficina y el trabajo;No me enviaron ni reintegraron nada;3;;;;;;;;;;;;;;;
Femenino;No;Entre 26 y 30;No tengo ninguna discapacidad;Universitario completo;Psicología;Universidad Pública;Paraguay;;Relación de Dependencia;Servicios de consultoría;Entre 101 y 250;Nacional;2;Responsable;Full time;Human Resources Project Leader ;0;1;8;8000000;Horarios flexibles, Frutas y snacks, Abono de celular, Préstamos, Posgrados, Reintegros en capacitación, Home office;Un sueldo;No tuve ajustes;0;;Si, en proyectos ad honorem;No hago Nómina. Trabajo con diferentes herramientas, HR Rider, Panoramic, PowerBI, entre otros ;Recursos Humanos;Si, está permitido;No;30%;13.000;4;No estoy buscando cambiar;Combustible y Uniforme ;Cambio ;Si pienso tener hijos;Si;Computadora / Laptop, Abono de celular, No me enviaron ni reintegraron nada;4;;;;;;;;;;;;;;;
Femenino;No;Entre 26 y 30;No tengo ninguna discapacidad;Universitario en curso;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Buenos Aires;Relación de Dependencia;Transporte marítimo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Femenino;No;Entre 31 y 35;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Otros;Entre 101 y 250;Multinacional;4;Analista;Full time;Generalista;0;0;7;72500;Frutas y snacks, Comedor / Almuerzos, App de meditación;Un sueldo;1 solo;13;Septiembre;Si, en emprendimiento relacionado con RRHH;Workday;Recursos Humanos;Si, está permitido;No;30%;300;4;No,  pero escucho ofertas;Dias libres;Intenso;;Voy rotando entre la oficina y el trabajo;Computadora / Laptop, Silla ergonómica, Kit sanitizante;5;;;;;;;;;;;;;;;
Femenino;No;Entre 36 y 40;No tengo ninguna discapacidad;Maestría abandonada;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Función pública;Entre 2.501 y 5.000;Nacional;50;Analista;Full time;Desarrollo laboral: procesos Sofi, capacitacion, evaluación, desarrollo;0;10;12;66000;No tengo beneficios adicionales, Reintegro guardería (fijo 2300$);No recibo bono;No tuve ajustes;0;;Si, en emprendimiento relacionado con RRHH;Meta4;Recursos Humanos;Si, está permitido;No;0%;700;3;No,  pero escucho ofertas;Home office, reintegro gastos internet y telefonía... reintegro Jardin completo ;Pasión ;;Si;No me enviaron ni reintegraron nada;4;;;;;;;;;;;;;;;
Femenino;No;Entre 31 y 35;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Terminales automotrices, fábricas autopartistas, y afines;Entre 251 y 500;Nacional;2;Analista;Full time;Administración de personal;0;1;5;55000;No tengo beneficios adicionales;No recibo bono;1 solo;80;Agosto;Si, en proyectos ad honorem;Enlatado propio;Recursos Humanos;Si, está permitido;No;0%;1600;3;No,  pero escucho ofertas;Capacitación- posgrado;Progreso;Me preguntaron que afinidad política tenía, yo no suelo hacer preguntas extrañas (para adjetivar) si la conversación no va por ese camino. No se si me expliqué. Si el relato es bizarro y me interesa pregunto. Pero no lo haría de la nada;No;No estoy trabajando en home office;1;;;;;;;;;;;;;;;
Masculino;No;Entre 31 y 35;Visual;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Tecnologías de Información, Sistemas, y afines;Entre 1.001 y 2.500;Multinacional;25;Analista;Full time;Reclutamiento y selección;0;0;5;70000;Medicina prepaga / Plan de salud, Horarios flexibles, Vacaciones extendidas, Licencias extendidas, Frutas y snacks, Abono de celular, Abono de internet, Reintegros en capacitación, Idiomas, Home office, Comedor / Almuerzos;No recibo bono;3 o más ajustes;26;Septiembre;No;No tenemos sistema de gestión;Employee Experience;Si, está permitido;Si;40%;7000;5;No estoy buscando cambiar;Sueldo dolarizado.;Estratégico.;;Si;Computadora / Laptop, Silla ergonómica, Abono de celular, Abono de internet;5;;;;;;;;;;;;;;;
Femenino;No;Entre 36 y 40;No tengo ninguna discapacidad;Universitario abandonado;Comunicación Social;Universidad Pública;Argentina;Buenos Aires;Relación de Dependencia;Función pública;Entre 501 y 1.000;Nacional;2;Administrativo;Full time;Administración de personal;0;6;6;37000;Ninguno;No recibo bono;No tuve ajustes;7;Octubre;No;Enlatado propio;Oficina de Personal;Si, está permitido;No;0%;0;4;No estoy buscando cambiar;No sé;Pasión;Ninguna;No;No estoy trabajando en home office;3;;;;;;;;;;;;;;;
Femenino;No;Hasta 25;No tengo ninguna discapacidad;Universitario en curso;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Textiles;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Femenino;No;Entre 36 y 40;No tengo ninguna discapacidad;Universitario abandonado;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Servicios de salud;Entre 51 y 100;Nacional;1;Responsable;Full time;Generalista;0;10;3;87000;Horarios flexibles, Abono de celular, Préstamos, Reintegros en capacitación;Menos de un sueldo;No tuve ajustes;0;Enero;No;No tenemos sistema de gestión;Recursos Humanos;Si, está permitido;No;0%;500;3;No,  pero escucho ofertas;Capacitación ;Estrategia;Si alquilaban tenían vivienda propia. (Por lo mal que pagabamos los sueldos);Voy rotando entre la oficina y el trabajo;No me enviaron ni reintegraron nada;3;;;;;;;;;;;;;;;
Femenino;No;Entre 36 y 40;No tengo ninguna discapacidad;Universitario en curso;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Neuquén;Relación de Dependencia;Servicios de salud;Entre 1.001 y 2.500;Nacional;18;HRBP;Full time;Generalista;800;2;10;100000;No tengo beneficios adicionales;No recibo bono;No tuve ajustes;4;Agosto;No;RH Pro;Recursos Humanos;Si, está permitido;No;;500;1;Sí, activamente;Prepaga;Cercanía;;No;No me enviaron ni reintegraron nada;1;;;;;;;;;;;;;;;
Femenino;No;Entre 26 y 30;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;San Juan;Relación de Dependencia;Comercio;Hasta 51;Nacional;1;Responsable;Part time;Administración de personal;0;7;2;22.000;No tengo beneficios adicionales;No recibo bono;No tuve ajustes;0;;Si, en emprendimiento relacionado con RRHH;No tenemos sistema de gestión;Recursos Humanos;Si, está permitido;No;0%;30;2;Sí, activamente;;Gestionar talento ;;;;;;;;;;;;;;;;;;;
Femenino;No;Entre 26 y 30;No tengo ninguna discapacidad;Universitario completo;Psicología;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Tecnologías de Información, Sistemas, y afines;Entre 51 y 100;Multinacional;2;HRBP;Full time;Capacitación y desarrollo;0;0;2;57000;Medicina prepaga / Plan de salud, Horarios flexibles, Abono de internet, Idiomas, Home office;Menos de un sueldo;1 solo;5;Agosto;No;Oracle HCM;Recursos Humanos;No, está prohibido;Si;50%;300;4;Sí, activamente;#¿NOMBRE?;Desiciones;Si te fueras de vacaciones, y te ofrecieran trabajo allí, de que sería?;;;;;;;;;;;;;;;;;;
Masculino;No;Entre 26 y 30;No tengo ninguna discapacidad;Universitario abandonado;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Jujuy;Relación de Dependencia;Educación;Entre 101 y 250;Nacional;1;Analista;Full time;Generalista;0;2;4;40000;No tengo beneficios adicionales;No recibo bono;1 solo;15;Julio;Si, en emprendimiento relacionado con RRHH;No tenemos sistema de gestión;Recursos Humanos;Si, está permitido;No;0%;250;3;No,  pero escucho ofertas;Home office y prepaga;Potenciar;Si pensaba casarme con mi novia;Voy rotando entre la oficina y el trabajo;No me enviaron ni reintegraron nada;2;;;;;;;;;;;;;;;
Masculino;No;Entre 26 y 30;No tengo ninguna discapacidad;Universitario completo;Psicología;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Tecnologías de Información, Sistemas, y afines;Hasta 51;Nacional;3;HRBP;Full time;Generalista;1;2;2;84000;Medicina prepaga / Plan de salud, Horarios flexibles, Vacaciones extendidas, Licencias extendidas, Posgrados, Home office;Menos de un sueldo;2 ajustes;62;Septiembre;Si, en emprendimiento no relacionado con RRHH;Enlatado propio;People Team;Si, está permitido;Si;0%;2500;5;No,  pero escucho ofertas;;;;;;;;;;;;;;;;;;;;;
Femenino;No;Entre 36 y 40;No tengo ninguna discapacidad;Universitario abandonado;Contador Público;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Freelance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Monotributista;7;Alquilo oficina (no cowork);No;No;No;Si;No;;;;;;Payroll / Liquidación de sueldos;1500
